Team1,Team2,Date,Venue,Result
MI,DC,3/24/2019,MI,DC
KKR,SRH,3/24/2019,KKR,KKR
KXIP,RR,3/25/2019,RR,KXIP
DC,CSK,3/26/2019,DC,CSK
KKR,KXIP,3/27/2019,KKR,KKR
RCB,MI,3/28/2019,RCB,MI
SRH,RR,3/29/2019,SRH,SRH
KXIP,MI,3/30/2019,KXIP,KXIP
KKR,DC,3/30/2019,DC,No Result
SRH,RCB,3/31/2019,SRH,SRH
RR,CSK,3/31/2019,CSK,CSK
KXIP,DC,4/1/2019,KXIP,KXIP
RCB,RR,4/2/2019,RR,RR
CSK,MI,4/3/2019,MI,MI
DC,SRH,4/4/2019,DC,SRH
RCB,KKR,4/5/2019,RCB,KKR
MI,SRH,4/6/2019,SRH,MI
CSK,KXIP,4/6/2019,CSK,CSK
DC,RCB,4/7/2019,RCB,DC
KKR,RR,4/7/2019,RR,KKR
KXIP,SRH,4/8/2019,KXIP,KXIP
CSK,KKR,4/9/2019,CSK,CSK
KXIP,MI,4/10/2019,MI,MI
RR,CSK,4/11/2019,RR,CSK
KKR,DC,4/12/2019,KKR,DC
RCB,KXIP,4/13/2019,KXIP,RCB
RR,MI,4/13/2019,MI,RR
CSK,KKR,4/14/2019,KKR,CSK
DC,SRH,4/14/2019,SRH,DC
RCB,MI,4/15/2019,MI,MI
KXIP,RR,4/16/2019,KXIP,KXIP
SRH,CSK,4/17/2019,SRH,SRH
MI,DC,4/18/2019,DC,MI
RCB,KKR,4/19/2019,KKR,RCB
KXIP,DC,4/20/2019,DC,DC
RR,MI,4/20/2019,RR,RR
RCB,CSK,4/21/2019,RCB,RCB
KKR,SRH,4/21/2019,SRH,SRH
RR,DC,4/22/2019,RR,DC
SRH,CSK,4/23/2019,CSK,CSK
RCB,KXIP,4/24/2019,RCB,RCB
KKR,RR,4/25/2019,KKR,RR
CSK,MI,4/26/2019,CSK,MI
SRH,RR,4/27/2019,RR,RR
DC,RCB,4/28/2019,DC,DC
